Rank,Company,Industry,Revenue (USD millions),Revenue growth,Employees,Headquarters,symbol,price,marketCap,beta,lastDividend,range,change,changePercentage,volume,averageVolume,ceo,state
38,FedEx,Transportation,"87,693",-2.7%,"422,100","Memphis, Tennessee",FDX,237.175,55962736463.0,1.288,5.66,194.3-308.53,-2.235,-0.93354,438494.0,1980298.0,Rajesh Subramaniam,TN
39,Procter & Gamble,Consumer products manufacturing,"84,039",2.5%,"108,000","Cincinnati, Ohio",PG,151.905,355785328704.0,0.364,3.1201,146.97-180.43,-0.295,-0.19382,3514084.0,7503964.0,Jon R. Moeller,OH
40,Lowe's,Retail,"83,674",-3.1%,"215,500","Mooresville, North Carolina",LOW,241.76,135583713133.0,0.88,5.85,206.39-280.64,-1.77,-0.72681,696718.0,2812400.0,Marvin R. Ellison,NC
41,Albertsons,Retail,"79,238",2.0%,"196,650","Boise, Idaho",ACI,19.505,10716540223.0,0.344,0.57,16.7-23.2,-0.055,-0.28119,1862981.0,6545426.0,Susan D. Morris,ID
42,Sysco,Food service,"78,844",3.3%,"76,000","Houston, Texas",SYY,78.22,38182534275.0,0.836,2.1,67.12-83.47,-0.38,-0.48346,1441761.0,2999920.0,Kevin P. Hourican,TX
43,American Express,Financial,"74,201",10.1%,"75,100","New York City, New York",AXP,354.62,247435917761.0,1.294,3.16,220.43-357.73,2.62,0.74432,754897.0,2580743.0,Stephen Joseph Squeri,NY
44,MetLife,Financials,"70,986",6.1%,"45,000","New York City, New York",MET,78.27,52051589247.0,0.849,2.225,65.21-89.05,-0.29,-0.36914,549736.0,3360982.0,Michel Abbas Khalaf,NY
45,HCA Healthcare,Healthcare,"70,603",8.7%,"271,000","Nashville, Tennessee",HCA,446.085,104380990448.0,1.407,2.82,289.98-446.57,4.895,1.1095,730071.0,1299950.0,Samuel N. Hazen,TN
46,Prudential Financial,Financials,"70,405",30.4%,"37,936","Newark, New Jersey",PRU,101.78,35826692416.0,1.021,5.35,90.38-130.55,-0.31,-0.30365,280591.0,1606675.0,Andrew Francis Sullivan,NJ
47,Boeing,Aerospace and defense,"66,517",-14.5%,"172,000","Arlington County, Virginia",BA,218.88,165507796282.0,1.47,0.0,128.88-242.69,2.29,1.0573,2627255.0,7312578.0,Robert K. Ortberg,VA
48,Caterpillar,Machinery,"64,809",-3.4%,"112,900","Irving, Texas",CAT,517.305,242346489263.0,1.465,5.84,267.3-544.99,3.395,0.66062,846646.0,3007806.0,Joseph E. Creed CPA,IL
49,Allstate,Insurance,"64,106",12.3%,"55,200","Northfield Township, Cook County, Illinois",ALL,195.05,51396715397.0,0.377,3.92,176-215.7,0.26,0.13348,357893.0,1426560.0,Thomas Joseph Wilson II,IL
50,Pfizer,Pharmaceutical industry,"63,627",8.8%,"81,000","New York City, New York",PFIZER.NS,5297.5,242348424858.0,0.113,35.0,3701-5993,-54.0,-1.00906,22331.0,38647.0,Meenakshi Nevatia,
51,IBM,Technology and cloud computing,"62,753",1.4%,"284,500","Armonk, New York",IBM,284.73,265231473775.0,0.724,6.7,203.51-301.04,-2.78,-0.96692,11266809.0,5316170.0,Arvind Krishna,NY
52,Delta Air Lines,Airline,"61,643",6.2%,"103,000","Atlanta, Georgia",DAL,59.317,38731792509.0,1.503,0.75,34.74-69.98,-0.683,-1.13833,3961000.0,8185534.0,Edward H. Bastian,GA
53,TD Synnex,Information Technology,"58,452",1.6%,"25,750","Clearwater, Florida",SNX,154.11,12788964446.0,1.329,1.76,92.23-167.76,2.95,1.95157,164901.0,687179.0,Patrick Zammit,CA
54,United Airlines,Airline,"57,063",6.2%,"107,300","Chicago, Illinois",UAL,96.065,31099889913.0,1.457,0.0,52-116,-0.205,-0.21294,3879866.0,5753775.0,J. Scott Kirby,IL
55,ConocoPhillips,Petroleum industry,"56,953",-2.8%,"11,800","Houston, Texas",COP,90.535,113072992126.0,0.635,3.12,79.88-115.38,3.125,3.57511,3380866.0,6534821.0,Ryan M. Lance,TX
56,TJX,Retail,"56,360",4.0%,"364,000","Framingham, Massachusetts",TJX,142.81,158948080390.0,0.921,1.6,111.73-146.46,-0.25,-0.17475,1130728.0,4969503.0,Ernie L. Herrman,MA
57,AbbVie,Pharmaceutical industry,"56,334",3.7%,"55,000","Lake Bluff, Illinois",ABBV,228.87,404312187364.0,0.507,6.56,163.81-244.81,0.19,0.08308553,2259003.0,5412442.0,Robert A. Michael CPA,IL
58,Enterprise Products,Petroleum industry,"56,219",13.1%,"7,800","Houston, Texas",EPD,30.9599,67035844187.0,0.645,2.14,27.77-34.63,-0.0801,-0.25805,1778616.0,4082709.0,A. James Teague,TX
59,Charter Communications,Telecommunications,"55,085",0.9%,"94,500","Stamford, Connecticut",CHTR,244.855,33444985387.0,1.051,0.0,243.62-437.06,-0.085,-0.03470238,880665.0,2184896.0,Christopher L. Winfrey,CT
60,Performance Food Group,Food processing,"54,681",2.5%,"36,815","Richmond, Virginia",PFGC,101.235,15834192266.0,1.089,0.0,68.395-109.05,-0.175,-0.17257,95109.0,1513401.0,George L. Holm,VA
61,American Airlines,Airline,"54,211",2.7%,"133,300","Fort Worth, Texas",AAL,12.7001,8379892010.0,1.366,0.0,8.5-19.1,0.6101,5.04632,56111222.0,74009365.0,Robert D. Isom Jr.,TX
62,Capital One Financial,Financials,"53,938",9.0%,"52,600","Richmond, Virginia",COF,220.8,141205353600.0,1.182,2.4,143.22-232.45,0.42,0.19058,1775761.0,3624818.0,Richard D. Fairbank,VA
63,Cisco,Telecom hardware manufacturing,"53,803",-5.6%,"90,400","San Jose, California",CSCO,70.7531,279700939335.0,0.966,1.63,52.11-72.55,0.0931,0.13176,6188721.0,19347368.0,Charles H. Robbins,CA
64,HP,Technology,"53,559",-0.3%,"58,000","Palo Alto, California",HPQ,28.025,26195019374.0,1.3,1.1576,21.21-39.8,0.365,1.3196,5090256.0,9939864.0,Enrique J. Lores,CA
65,Tyson Foods,Food processing,"53,309",0.8%,"138,000","Springdale, Arkansas",TSN,51.71,18344173848.0,0.56,2.0,51.07-65.95,-1.01,-1.91578,839010.0,2713643.0,Donnie D. King,AR
66,Intel,Technology,"53,101",-2.1%,"108,900","Santa Clara, California",INTC,37.55,164351968103.0,1.33,0.125,17.67-39.65,0.63,1.70639,37409153.0,126040262.0,Lip-Bu Tan,CA
67,Broadcom,Technology,"52,432",46.4%,"37,000","Palo Alto, California",AVGO,344.735,1619646371947.0,1.208,2.36,138.1-374.23,4.435,1.30326,5112007.0,22777687.0,Hock E. Tan,CA
68,Plains All American Pipeline,Petroleum industry,"50,073",2.8%,"4,200","Houston, Texas",PAA,16.725,11762766960.0,0.712,1.4575,15.58-21,0.215,1.30224,2931064.0,2892554.0,Wilfred C.W. Chiang,TX
69,Bristol-Myers Squibb,Pharmaceutical industry,"48,300",7.3%,"34,100","New York City, New York",BMY,43.915,89386164826.0,0.344,2.48,42.96-63.33,-0.475,-1.07006,5438971.0,13903093.0,Christopher S. Boerner,NY
70,Ingram Micro,Technology,"47,984",-0.1%,"26,125","Irvine, California",INGM,21.51,5051494311.0,2.3125541,0.31,14.25-25.69,0.13,0.60804,127463.0,323332.0,Paul D. Bay,CA
